N1,N2,T_split,MigRate,Fst,dxy,segsites1,segsites2,pi1,pi2,tajima1,tajima2
150000,5000,8650,0,0.152636263763123,0.105650399999998,0.4109,0.1193,0.10136212244897722,0.05397624489796042,0.3845969858303255,3.7549718661037867
150000,5000,1960,0,0.09500159420087884,0.09891423999999807,0.4186,0.2575,0.09633355102040543,0.0671679999999996,0.11291892488165033,0.6168044376782964
150000,5000,8274,0,0.25649007884209596,0.10151775999999839,0.4,0.1061,0.0972589387755075,0.022884408163265094,0.32654840762767673,-0.12393057120323406
150000,5000,8114,0,0.2738546186110694,0.09868151999999879,0.3991,0.031099999999999996,0.09826187755101781,0.014242530612244833,0.3767988100214227,3.8163753017820334
150000,5000,7056,0,0.10692592457470107,0.0906757599999988,0.3727,0.1263,0.0915119999999978,0.054803428571429176,0.36576851913403813,3.4519500166673063
150000,5000,7231,0,0.10273874769971325,0.09934951999999858,0.4059,0.1998,0.09613453061224232,0.06554016326530607,0.22306429133268108,1.7184804859022735
150000,5000,4743,0,0.16198366406292553,0.10292463999999803,0.4177,0.0937,0.10238979591836447,0.046067591836735575,0.35906613824362205,4.394131454074782
150000,5000,9521,0,0.22127742397575545,0.09842359999999795,0.4193,0.1434,0.09891673469387498,0.02659885714285707,0.20774320413673653,-0.6190444490157553
150000,5000,7775,0,0.17284294354750473,0.10093903999999866,0.3983,0.1088,0.09924799999999738,0.0431281632653065,0.425555874604219,2.836040253588241
150000,5000,7884,0,0.15673581798490166,0.10133399999999874,0.4127,0.2041,0.09949861224489567,0.04824702040816403,0.2928151937554096,0.21544667556613162
150000,5000,10041,0,0.1371315707855547,0.10343447999999877,0.3826,0.1567,0.09831436734693647,0.05866016326530548,0.5533240638463245,2.4770763466111756
150000,5000,9297,0,0.1293323708800399,0.09869879999999989,0.369,0.1503,0.09533355102040618,0.05685167346938773,0.5761656920890745,2.5409191755548433
150000,5000,9816,0,0.14231261179277,0.09880927999999897,0.3881,0.1563,0.09703738775509983,0.051341387755102254,0.4395468547953018,1.7251037904060915
150000,5000,7603,0,0.15500067510769955,0.0944383199999987,0.3766,0.10239999999999999,0.09097338775510008,0.04720889795918462,0.30055974503124006,3.893868176188542
150000,5000,5605,0,0.072602860967944,0.0975744799999989,0.384,0.1938,0.09450334693877323,0.07422693877551027,0.37504369574419966,2.620096901832386
150000,5000,6000,0,0.10969658911834257,0.1008795999999986,0.4009,0.1833,0.09851779591836492,0.06335248979591859,0.3691329090309928,2.006744208047095
150000,5000,10948,0,0.15974412181784337,0.10435295999999848,0.3893,0.1352,0.09818636734693645,0.05302489795918472,0.47534285630873346,2.768798023357518
150000,5000,4435,0,0.0969061481957838,0.09907879999999844,0.4255,0.2205,0.09815616326530353,0.06498897959183644,0.12197485266738187,1.1725776806261528
150000,5000,6064,0,0.17211064184854408,0.0996745599999986,0.4118,0.1678,0.09853167346938545,0.04227330612244816,0.26291981841891476,0.47013727629518104
150000,5000,5186,0,0.23298870670582772,0.10488119999999787,0.4367,0.1564,0.1022586938775478,0.02822922448979548,0.1790728776550515,-0.701022859739377
150000,5000,9215,0,0.21473546047899195,0.10155359999999884,0.3853,0.1381,0.09751485714285531,0.03378359183673451,0.48970997272349537,0.35037375226570516
150000,5000,8785,0,0.27898252894335196,0.099220559999999,0.3938,0.105,0.0982025306122426,0.013667265306122577,0.4287129994081691,-1.5246052761614137
150000,5000,7757,0,0.092525701119761,0.10253695999999914,0.4149,0.2153,0.09661208163265038,0.0737265306122443,0.15762696039979565,1.9550124606431971
150000,5000,7734,0,0.19393899244066581,0.10682535999999856,0.4106,0.158,0.10071044897958917,0.04353102040816376,0.3615024011737178,0.8567666114584733
150000,5000,8310,0,0.27002933620876246,0.10575703999999819,0.4009,0.1204,0.10065689795918127,0.020914367346938217,0.4567186615264015,-0.8117826340494475
150000,5000,6562,0,0.08825175704540489,0.10430175999999818,0.4225,0.1835,0.10160048979591532,0.07316963265306221,0.28268664296345997,2.877922836035824
150000,5000,6915,0,0.1753446780183796,0.09950087999999839,0.3832,0.1006,0.09366530612244715,0.04596000000000099,0.34757914973810905,3.825436462408948
150000,5000,10829,0,0.18216294713259384,0.100853439999999,0.383,0.1087,0.09397942857142604,0.04556424489796013,0.3631364862264783,3.2090888131926785
150000,5000,6169,0,0.32062406044089653,0.10747511999999833,0.417,0.1,0.1027451428571399,0.00783289795918374,0.3798087665443524,-2.3731962828253645
150000,5000,12226,0,0.3360563866017191,0.09613999999999837,0.412,0.0003,0.09551412244897725,3.804081632653061e-05,0.14078549420005945,-0.892661214862531
150000,5000,7548,0,0.33756580557669846,0.09531287999999875,0.3708,0.0029,0.09348783673469215,0.0009202448979591838,0.4738802806937004,1.3977327525020609
150000,5000,7818,0,0.1569707674891857,0.10327191999999911,0.3786,0.1058,0.09808620408163052,0.05241240816326573,0.5879896083687168,4.457130420466441
150000,5000,9188,0,0.18235438725862996,0.09567303999999838,0.3744,0.08609999999999998,0.0941246530612229,0.0381988571428575,0.4620107485445721,3.6073101681587842
150000,5000,6893,0,0.14652037057422218,0.10198359999999826,0.4066,0.1617,0.09982783673469131,0.05200710204081739,0.36547592569190723,1.6128698701550543
