N1,N2,T_split,MigRate,Fst,dxy,segsites1,segsites2,pi1,pi2,tajima1,tajima2
150000,5000,7433,0,0.13625365119699984,0.09975271999999813,0.4209,0.1441,0.10131795918367067,0.050340163265307214,0.2866728421981164,2.0667634956924963
150000,5000,8744,0,0.0830813379038593,0.10724991999999958,0.3899,0.1987,0.10107853061224278,0.08051346938775526,0.5907307435026051,2.9842058389899275
150000,5000,4615,0,0.12817561986214554,0.1001589599999982,0.413,0.1567,0.0999352653061196,0.05486514285714237,0.30729599997988005,2.0800310513838545
150000,5000,8770,0,0.1479537271236725,0.10115455999999898,0.3974,0.1417,0.09859297959183437,0.051567020408163286,0.4077623998000169,2.305581702097962
150000,5000,7226,0,0.15207366591582994,0.10821415999999817,0.4223,0.1601,0.10568881632652849,0.05360244897959137,0.4434766763454887,1.8289079731398736
150000,5000,8394,0,0.1242086628403879,0.09958223999999839,0.3946,0.1662,0.09493706122448754,0.06021787755102034,0.2845770590183358,2.2801985927598216
150000,5000,7346,0,0.19339438637857398,0.09854183999999803,0.4015,0.1419,0.09546506122448722,0.03774220408163328,0.23829732486390098,0.7002769505364095
150000,5000,9480,0,0.14769562500643119,0.10107359999999858,0.3811,0.1527,0.09635036734693636,0.05376865306122464,0.48533294927770426,2.112558654033747
150000,5000,8413,0,0.22622381824957627,0.10347799999999895,0.382,0.1071,0.0960541224489777,0.034540000000000744,0.46282730948399897,1.6255736852039866
150000,5000,5739,0,0.12695540315372522,0.09718175999999833,0.4034,0.1463,0.09683673469387491,0.05373534693877617,0.2757307346728232,2.3611302046053932
150000,5000,10037,0,0.16943195836075464,0.09760247999999877,0.3817,0.0958,0.09538040816326297,0.04326040816326491,0.43709923254479094,3.7382316655610945
150000,5000,9682,0,0.31616906527027655,0.09590431999999888,0.3714,0.0344,0.08980416326530412,0.009852244897959219,0.304397252418514,1.0278165176874743
150000,5000,10454,0,0.11273627370433115,0.10622759999999855,0.3872,0.1795,0.09910832653060982,0.07029730612244862,0.5368780999177231,2.7611153095951027
150000,5000,9301,0,0.3302329549973746,0.09850519999999859,0.3891,0.008,0.09524816326530343,0.003945795918367346,0.35352014548093663,4.266388799622228
150000,5000,12883,0,0.2544220601422603,0.10256215999999833,0.3874,0.11,0.09605053061224254,0.0258671020408162,0.40514813898211754,0.19494948179137453
150000,5000,4672,0,0.0953355919805986,0.09966311999999815,0.4145,0.1923,0.09713216326530302,0.06749624489795861,0.18191218226494063,2.0950234535747723
150000,5000,8518,0,0.1695925431505687,0.10076135999999827,0.395,0.1083,0.09777044897958943,0.045310122448980014,0.3983228793766759,3.1959786651625968
150000,5000,8622,0,0.14912627904538622,0.09551943999999916,0.3699,0.1713,0.09118048979591649,0.050274775510204324,0.3815629473882498,1.1516727618679783
150000,5000,7726,0,0.14150972613243495,0.10344455999999819,0.4176,0.1635,0.1007729795918342,0.05482122448979649,0.29647428477619764,1.8370503215874552
150000,5000,8087,0,0.14586324867689626,0.10144311999999846,0.3934,0.184,0.09849061224489603,0.052742612244897284,0.444894885623997,1.0395681148514198
150000,5000,5867,0,0.08583986150829981,0.09687055999999836,0.4129,0.1788,0.09734440816326227,0.06576473469387743,0.20525567720466462,2.370536475990408
150000,5000,9735,0,0.1904899504633587,0.10435327999999881,0.4112,0.1601,0.09961093877550733,0.042305469387755104,0.31173515197814955,0.6720371753312654
150000,5000,10054,0,0.1659851904677042,0.09445367999999882,0.3804,0.0912,0.09148587755101839,0.04363722448979673,0.2830669147983099,4.178098019645192
150000,5000,8180,0,0.11712275046001519,0.10074311999999845,0.3827,0.1564,0.09556922448979355,0.06366808163265267,0.4344809973836548,3.01378355004358
150000,5000,9301,0,0.09094635553953045,0.10087335999999848,0.4018,0.1715,0.09758783673469129,0.07052179591836695,0.32210606622833665,3.0819001298309634
150000,5000,9681,0,0.18531528231917727,0.10074247999999895,0.3826,0.1455,0.09732155102040585,0.04116204081632653,0.5107303728687113,0.9777168441791845
150000,5000,8726,0,0.19105240341315033,0.09482335999999901,0.3704,0.1015,0.09237502040816156,0.036430612244897735,0.4290358277672803,2.221723005918083
150000,5000,4915,0,0.08089959051799667,0.1032804799999983,0.4326,0.2159,0.1002432653061195,0.07539771428571393,0.13902380116537438,2.0663828730429152
150000,5000,9492,0,0.20942729784992298,0.10921143999999774,0.4368,0.1444,0.10738497959183411,0.035392653061225174,0.3708507952099074,0.35811508613732057
150000,5000,9128,0,0.1896691830264955,0.1048427199999985,0.3986,0.1087,0.09938228571428352,0.04344277551020491,0.42800773165287653,2.8894133494224694
150000,5000,7994,0,0.15267447658246558,0.10360167999999796,0.413,0.1035,0.09975697959183406,0.05255722448979651,0.30020977826521916,4.660035827536703
150000,5000,6867,0,0.08650161082662267,0.10202367999999894,0.4191,0.1758,0.09966032653060983,0.07189665306122477,0.23871644502310363,3.045353119093478
150000,5000,7909,0,0.2972823335099051,0.08974559999999862,0.3836,0.0642,0.09218285714285494,0.005044734693877583,0.27996159286738215,-2.3648881763856537
150000,5000,9466,0,0.17399052689767835,0.09965415999999823,0.3992,0.1175,0.09754179591836443,0.04268979591836827,0.34617722039146503,2.2946852232770243
150000,5000,7992,0,0.1974858097345642,0.10342159999999877,0.3898,0.1123,0.10200726530612036,0.036611999999999756,0.630931398423444,1.6834156497459911
150000,5000,8918,0,0.33997631126213534,0.09429199999999927,0.3724,0.0003,0.09283673469387513,5.289795918367347e-05,0.42740389524433936,-0.43431544156511404
150000,5000,9807,0,0.23381735320207875,0.09494079999999933,0.3552,0.1158,0.09253942857142634,0.0253742857142855,0.6117818896423494,-0.06769663018474745
150000,5000,8430,0,0.14483436630945778,0.0963024799999985,0.3754,0.1,0.09345142857142646,0.050420163265306385,0.42158345304114647,4.600618081429379
150000,5000,10714,0,0.08478379055161855,0.10057743999999877,0.4058,0.1662,0.09940693877550774,0.07030448979591829,0.35639476840781914,3.2752835157497517
